STATION,NAME,DATE,TMAX,TMIN
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/5/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/6/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/7/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/8/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/9/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/11/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/13/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/14/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/15/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/16/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/17/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/18/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/19/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/20/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/21/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/22/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/23/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/24/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/25/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/26/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/27/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/28/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/29/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/30/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/1/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/2/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/3/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/4/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/5/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/6/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/7/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/8/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/9/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/10/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/11/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/12/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/13/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/14/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/15/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/16/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/17/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/18/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/19/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/20/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/21/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/22/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/1/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/2/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/3/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/5/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/6/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/7/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/9/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/12/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/13/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/14/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/16/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/18/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/19/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/20/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/21/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/22/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/23/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/28/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/1/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/2/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/3/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/4/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/5/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/6/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/7/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/8/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/9/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/10/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/11/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/12/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/13/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/14/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/15/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/16/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/17/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/18/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/19/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/20/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/21/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/22/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/23/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/24/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/25/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/28/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/29/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/1/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/7/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/8/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/9/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/10/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/11/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/12/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/21/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/22/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/2/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/3/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/4/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/5/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/6/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/7/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/12/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/16/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/17/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/18/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/19/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/20/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/21/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/22/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/23/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/24/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/25/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/26/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/27/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/28/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/29/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/30/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",10/1/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",10/2/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",10/14/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",10/15/2010,,
